GLOSS_ID,VALIDATED_ROOT,AIRCRAFT_NAME,WEBSITE_LINK,AIRCRAFT_TYPE,AIRCRAFT_SHORTNAME,AIRCRAFT_APPLICATION,AC_MISSION_COUNT
90,T-39,North American Sabreliner,https://en.wikipedia.org/wiki/North_American_Sabreliner,Training Aircraft,Sabreliner,TRAIN,108
91,T-41,Cessna T-41 Mescalero,https://en.wikipedia.org/wiki/Cessna_T-41_Mescalero,Primary Pilot Trainer,Mescalero,TRAIN,230
92,TA-4,Douglas A-4 Skyhawk,https://en.wikipedia.org/wiki/Douglas_A-4_Skyhawk,Fighter Jet,Skyhawk,FIGHTER,7734
93,TF9,Grumman F9F-8T (TF-9J) 'Cougar',http://www.aero-web.org/specs/grumman/f9f-8t.htm,Fighter Jet, Cougar,FIGHTER,3600
94,U-1,U-1 Otter,http://www.navalaviationmuseum.org/attractions/aircraft-exhibits/item/?item=u-1_otter,Cargo Prop plane,Otter,"CARGO, PROP",177
95,U-10,Helio Courier,https://en.wikipedia.org/wiki/Helio_Courier,Utility Prop plane,Courier,"UTILITY, PROP",5
96,U-17,Cessna 185,https://en.wikipedia.org/wiki/Cessna_185,Light Utility Plane,Cessna 185,UTILITY,26668
97,U-21,Beechcraft King Air,https://en.wikipedia.org/wiki/Beechcraft_King_Air,Light Utility Plane,King Air,UTILITY,1863
98,U-3,Cessna 310,https://en.wikipedia.org/wiki/Cessna_310,Light Utility Plane,Cessna 310,UTILITY,95
99,U-6,U-6A Beaver,http://www.military.com/equipment/u-6a-beaver,Training Aircraft,A Beaver,TRAIN,6219
100,UH-1,Bell UH-1 Iroquois,https://en.wikipedia.org/wiki/Bell_UH-1_Iroquois,Utility Helicopter,Iroquois,"UTILITY, HELICOPTER",147509
101,UH-2,Kaman SH-2 Seasprite,https://en.wikipedia.org/wiki/Kaman_SH-2_Seasprite,Anti-submarine helicopter,Seasprite,HELICOPTER,33
102,VC-54,Douglas VC-54C “Sacred Cow”,http://www.nationalmuseum.af.mil/Visit/MuseumExhibits/FactSheets/Display/tabid/509/Article/195813/douglas-vc-54c-sacred-cow.aspx,Transport Prop Plane,Sacred Cow,"TRANSPORT, PROP",43
103,WC-130,Lockheed WC-130,https://en.wikipedia.org/wiki/Lockheed_WC-130,Weather reconnaissance aircraft,,RECON,1226
104,YQU-22,Beechcraft Bonanza,https://en.wikipedia.org/wiki/Beechcraft_Bonanza#QU-22_Pave_Eagle,Utility Aircraft,Bonanza,UTILITY,1076
35,E-1,Grumman E-1 Tracer,https://en.wikipedia.org/wiki/Grumman_E-1_Tracer,Carrier-based Early Warning aircraft,Tracer,"CARRIER, EARLY_WARNING",7130
49,F-102,CONVAIR F-102 Delta Dagger,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=157,Fighter Prop Plane,Delta Dagger,"FIGHTER, PROP",6923
3,A-3,Douglas A-3 Skywarrior,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=373,Strategic Bomber,Skywarrior,"STRATEGIC, BOMBER",5458
33,DC-6,Douglas DC-6,https://en.wikipedia.org/wiki/Douglas_DC-6,Airliner/transport aircraft,,TRANSPORT,342
56,F-8,Vought F-8 Crusader,https://en.wikipedia.org/wiki/Vought_F-8_Crusader,Fighter Jet,Crusader,FIGHTER,149954
26,C-121,Lockheed Constellation,https://en.wikipedia.org/wiki/Lockheed_Constellation,Airliner/ Transport,Constellation,TRANSPORT,1
